"Census","X_Center","Y_Center","lats","lngs","nearest_wholefoods","nearest_wholefoods_lat","nearest_wholefoods_long","nearest_ralphs","nearest_ralphs_lat","nearest_ralphs_long","nearest_traderjoes","nearest_traderjoes_lat","nearest_traderjoes_long","nearest_library","nearest_library_lat","nearest_library_long","X2015ZRI","X2016ZRI","X2017ZRI","X2015ZHVI","X2016ZHVI","X2017ZHVI","Citations","Coffee","Restaurants","Shelters","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","totUnsheltPeople","totSheltPeople","totPeople","CrimeCount","MedHouseIncomes","HousingUnits","BusStops","X2015HousedPopulation","totHomeless2015","totHomeless2016","totHomeless2017","X2015Popin1Mi","X2016Popin1Mi","X2017Popin1Mi","TractSqMi"
900607,6524361.423,2074676.231,34.69320217,-118.1241061,50423.5566426021,34.4126364,-118.5558802,44562.5205404164,34.4146522,-118.4731944,48057.8603473122,34.4285573,-118.5382822,51054.9407016505,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900608,6529152.902,2075987.187,34.69681959,-118.1081707,51822.6117736093,34.4126364,-118.5558802,45897.2407179299,34.4146522,-118.4731944,49461.5836320544,34.4285573,-118.5382822,51917.0380565066,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900609,6531810.809,2078688.462,34.70424961,-118.0993369,52967.7568053708,34.4126364,-118.5558802,47052.7053385951,34.4146522,-118.4731944,50605.3642128981,34.4285573,-118.5382822,52972.8834794597,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900701,6519334.645,2070594.64,34.68196868,-118.14081,48448.7182106283,34.4126364,-118.5558802,42594.2964796417,34.4146522,-118.4731944,46083.4132607732,34.4285573,-118.5382822,49393.3282512851,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900703,6514540.709,2070649.357,34.68209953,-118.1567565,47318.0631564919,34.4126364,-118.5558802,41571.154144624,34.4146522,-118.4731944,44945.3958513331,34.4285573,-118.5382822,48991.4391413309,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900704,6519885.087,2062518.515,34.65977937,-118.1389419,47103.2911779321,34.4126364,-118.5558802,41037.6344068624,34.4146522,-118.4731944,44758.1371733467,34.4285573,-118.5382822,47095.5803616358,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900705,6514553.187,2062710.743,34.66028603,-118.1566738,45827.1061090587,34.4126364,-118.5558802,39876.4275181531,34.4146522,-118.4731944,43471.4329620949,34.4285573,-118.5382822,46660.8869940511,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900803,6514443.381,2081271.777,34.71128707,-118.1571355,49411.2275220557,34.4126364,-118.5558802,43930.3393270539,34.4146522,-118.4731944,47023.3471800784,34.4285573,-118.5382822,52117.5465843626,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900804,6518629.971,2081149.806,34.71096911,-118.143204,50340.0712474799,34.4126364,-118.5558802,44756.8848806,34.4146522,-118.4731944,47956.6004364569,34.4285573,-118.5382822,52422.1082845819,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
900805,6514496.259,2075956.05,34.69668092,-118.1569319,48348.7552316219,34.4126364,-118.5558802,42736.0110862639,34.4146522,-118.4731944,45967.493516038,34.4285573,-118.5382822,50551.5583733402,34.2583944,-118.3010953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
