Census,X_Center,Y_Center,lats,lngs
121600,6437529.937,1899447.676,34.21106899,-118.4105915
121801,6442886.227,1899578.422,34.21148708,-118.3928771
121802,6443354.398,1902387.554,34.21921117,-118.3913647
121900,6445820.821,1901885.594,34.21785798,-118.3831998
122000,6435172.856,1900822.027,34.21481879,-118.4184066
122120,6449224.502,1899295.415,34.21077568,-118.3719094
122121,6449638.423,1900545.262,34.21421428,-118.3705556
122122,6448792.885,1902600.24,34.21985245,-118.3733776
122200,6452995.219,1900570.05,34.21431588,-118.3594527
122410,6443149.333,1897028.542,34.20448322,-118.3919739
122420,6445775.537,1896700.632,34.20361,-118.3832842
123010,6448408.709,1896375.408,34.20274361,-118.3745717
123020,6450853.58,1897091.768,34.20473682,-118.3664946
123103,6451151.075,1892044.869,34.19087167,-118.36545
123104,6451275.772,1889139.93,34.18289057,-118.3650028
123203,6443392.968,1894028.33,34.19624169,-118.3911296
123204,6442422.053,1893193.019,34.19393596,-118.3943295
123205,6445679.161,1893408.845,34.19456365,-118.3835614
123206,6448307.285,1893087.347,34.19370747,-118.3748665
123301,6440679.512,1895519.584,34.20031009,-118.4001225
123303,6437203.378,1894429.109,34.19727506,-118.4116037
123304,6438870.085,1894154.431,34.19653891,-118.4060882
123410,6434172.065,1894693.668,34.1979675,-118.4216319
123420,6435682.719,1893088.898,34.19357515,-118.4166141
123510,6432391.882,1893659.667,34.19510556,-118.4275044
123520,6433231.66,1891331.676,34.18871839,-118.4246948
123601,6435245.697,1887403.149,34.17794659,-118.4179811
123602,6432726.931,1888604.953,34.1812199,-118.4263255
123700,6437815.977,1889908.34,34.18485955,-118.4095169
123800,6440252.411,1888034.215,34.17973674,-118.4014361
123901,6442569.995,1890105.83,34.18545442,-118.3938003
123902,6443031.663,1886619.076,34.1758783,-118.3922288
124000,6439168.557,1881766.583,34.1625023,-118.4049361
124102,6445702.268,1886573.886,34.17578244,-118.3833988
124103,6445715.869,1891199.068,34.1884919,-118.3834122
124104,6445711.476,1889877.824,34.18486127,-118.38341
124105,6445707.611,1888555.936,34.18122888,-118.3834061
124201,6448352.805,1889869.731,34.1848664,-118.3746763
124203,6448346.389,1887226.863,34.17760412,-118.374665
124204,6448344.378,1885905.253,34.17397252,-118.3746553
