Census,X_Center,Y_Center,lats,lngs,nearest_ralphs,nearest_ralphs_lat,nearest_ralphs_long,nearest_traderjoes,nearest_traderjoes_lat,nearest_traderjoes_long,nearest_library,nearest_library_lat,nearest_library_long,X2015ZRI,X2016ZRI,X2017ZRI,X2015ZHVI,X2016ZHVI,X2017ZHVI,Citations,Coffee,Restaurants,Shelters,totCars,totVans,totCampers,totTents,totEncamp,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totEncampPeople,totUnsheltPeople,totSheltPeople,totPeople,CrimeCount,MedHouseIncomes,HousingUnits,BusStops,X2015HousedPopulation,totHomeless2015,totHomeless2016,totHomeless2017,X2015Popin1Mi,X2016Popin1Mi,X2017Popin1Mi,TractSqMi
104403,6430381.194,1916838.532,34.25877381,-118.4344849,5265.85078,34.2225182,-118.3977306,6365.492232,34.272659,-118.5016054,554.2386708,34.2612159,-118.4292353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104404,6432139.698,1918704.026,34.26392065,-118.4286916,5418.436752,34.2225182,-118.3977306,6777.911082,34.272659,-118.5016054,305.2182258,34.2612159,-118.4292353,2272.55,2405.45,2498.266667,407463.3333,440695,467593.3333,0,0,8,0,2,3,2,0,0,3,5,4,0,0,14,0,14,100,34769,0,8,3504,12.75,7,13.795,160.25,235,57.576,0.208330409
104500,6433016.154,1915639.792,34.25551084,-118.4257479,4487.41128,34.2225182,-118.3977306,7235.264291,34.272659,-118.5016054,711.537288,34.2612159,-118.4292353,2272.55,2405.45,2498.266667,407463.3333,440695,467593.3333,0,1,5,0,0,0,0,0,1,0,0,0,0,2,2,21,23,90,48977,0,4,3556,7.75,31,22.926,73,96,66.929,0.20500425
104610,6435064.857,1917423.377,34.26043552,-118.4189927,4652.392342,34.2225182,-118.3977306,7721.005938,34.272659,-118.5016054,946.3528752,34.2612159,-118.4292353,2219.166667,2352.4375,2437.972222,388850,421031.25,446788.8889,0,0,6,0,0,0,1,0,0,0,0,2,0,0,3,0,3,83,51042,0,5,3981,28,6,3.095,133,248,63.326,0.228605509
104620,6434011.918,1916506.631,34.25790433,-118.4224647,4549.51132,34.2225182,-118.3977306,7463.816423,34.272659,-118.5016054,723.8359905,34.2612159,-118.4292353,2219.166667,2352.4375,2437.972222,388850,421031.25,446788.8889,0,0,0,0,5,4,1,0,0,8,7,2,0,0,19,0,19,70,52781,0,2,3814,3,0,19.28,72.25,147,70.288,0.205068881
104701,6436218.707,1920344.135,34.26847447,-118.415214,5362.838622,34.2225182,-118.3977306,7961.048356,34.272659,-118.5016054,1522.126073,34.2612159,-118.4292353,2234.638889,2365.916667,2451.111111,394497.2222,426658.3333,452829.6296,0,0,4,0,0,1,0,0,0,0,2,0,0,0,2,0,2,152,26431,0,5,4556,8,46,1.808,150.25,144,59.323,0.212530942
104703,6440617.644,1915507.248,34.25523249,-118.4005905,3651.23615,34.2225182,-118.3977306,9493.710724,34.272659,-118.5016054,2037.476061,34.2726803,-118.3939002,2256.277778,2393.75,2479.574074,399506.9444,432281.9444,461566.6667,0,0,0,0,6,3,17,3,0,10,5,36,5,0,62,0,62,55,38750,64,5,2647,10.66666667,12,61.689,8,5,0,0.451639851
104704,6438128.505,1918173.562,34.26253158,-118.4088637,4570.572428,34.2225182,-118.3977306,8606.055429,34.272659,-118.5016054,1780.821816,34.2726803,-118.3939002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104810,6437410.677,1913725.004,34.25029957,-118.4111792,3331.077318,34.2225182,-118.3977306,8683.840422,34.272659,-118.5016054,2058.330246,34.2612159,-118.4292353,2256.277778,2393.75,2479.574074,399506.9444,432281.9444,461566.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,59931,0,12,5699,8,5,0,57.16666667,101,135.654,0.433694799
104821,6435858.952,1912374.296,34.24657048,-118.4162954,3176.181729,34.2225182,-118.3977306,8368.999506,34.272659,-118.5016054,2018.790286,34.2612159,-118.4292353,2249.916667,2386.75,2472.666667,398010,430613.3333,459333.3333,0,0,2,0,0,0,0,0,1,0,0,0,0,2,3,0,3,141,47917,80,5,3791,0,38,2.926,128.3333333,82,74.725,0.205312937
104822,6434459.17,1912112.025,34.24583378,-118.4209236,3360.45756,34.2225182,-118.3977306,8001.285775,34.272659,-118.5016054,1875.353804,34.2612159,-118.4292353,2304.095238,2442.952381,2534.269841,417195.2381,451901.1905,481363.4921,0,0,8,0,1,3,1,0,5,2,5,2,0,10,26,0,26,70,55288,0,6,2461,7.75,14,25.738,92.58333333,100,48.818,0.235002367
106010,6427790.983,1941073.361,34.32533621,-118.4434108,9322.329487,34.256727,-118.501532,7938.958358,34.272659,-118.5016054,2076.796823,34.3075438,-118.4502043,2233.458333,2357.083333,2441.222222,393525,425454.1667,451016.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,75096,0,9,3320,13,8,0,101.8333333,18,57.866,0.973261339
106020,6432322.599,1939576.373,34.32127673,-118.4283806,9843.713594,34.256727,-118.501532,8639.349281,34.272659,-118.5016054,2522.582695,34.3075438,-118.4502043,2233.458333,2357.083333,2441.222222,393525,425454.1667,451016.6667,0,0,0,0,4,1,16,1,0,6,2,34,2,0,43,0,43,165,69924,0,5,5869,26.66666667,0,43.392,111.3333333,70,2,0.779104416
106111,6438637.48,1939516.928,34.32118553,-118.4074655,10042.05622,34.26048,-118.3267,10204.5758,34.272659,-118.5016054,4212.844534,34.3075438,-118.4502043,2233.458333,2357.083333,2441.222222,393525,425454.1667,451016.6667,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,2,82,68304,0,3,4495,29.16666667,0,2.095,0,0,0,1.477432386
106112,6437110.087,1933806.777,34.30547781,-118.4124465,9333.733239,34.2225182,-118.3977306,8977.210921,34.272659,-118.5016054,3479.578682,34.3075438,-118.4502043,2233.458333,2357.083333,2441.222222,393525,425454.1667,451016.6667,0,0,2,0,1,0,2,0,0,2,0,4,0,0,13,170,183,171,69500,0,8,6203,157.3333333,8,182.781,58.33333333,28,71.917,1.246075501
106113,6434154.655,1934074.286,34.30617916,-118.4222365,9137.987788,34.256727,-118.501532,8198.173214,34.272659,-118.5016054,2576.21504,34.3075438,-118.4502043,2233.458333,2357.083333,2441.222222,393525,425454.1667,451016.6667,0,0,7,0,0,0,14,0,6,0,0,29,0,12,50,0,50,86,66827,0,6,3619,21,25,49.881,243.8333333,63,204.817,0.555224059
106114,6432713.719,1932824.034,34.30272694,-118.4269903,8557.688398,34.256727,-118.501532,7635.422004,34.272659,-118.5016054,2200.964686,34.3075438,-118.4502043,2254.645833,2380.479167,2461.277778,399760.4167,430777.0833,457738.8889,0,0,13,0,0,2,6,0,2,0,4,13,0,4,22,0,22,208,46279,0,10,6294,37.33333333,3,22.036,231.5,96,236.662,0.391675015
106403,6428405.227,1934040.562,34.30601863,-118.4412741,7799.284554,34.256727,-118.501532,6676.830725,34.272659,-118.5016054,838.5304537,34.3075438,-118.4502043,2249.791667,2383.25,2462.722222,401420.8333,432225,459311.1111,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,184,59444,0,14,4075,4,11,4,161.6666667,130,32.313,0.426854077
106405,6426299.681,1937202.254,34.31468085,-118.4482929,8099.295315,34.256727,-118.501532,6776.57785,34.272659,-118.5016054,813.6996195,34.3075438,-118.4502043,2249.791667,2383.25,2462.722222,401420.8333,432225,459311.1111,0,1,4,0,0,0,1,0,0,0,0,2,0,0,3,0,3,85,53617,0,9,4252,13,4,3.095,132.3333333,129,63.432,0.451754365
106406,6422720.824,1940022.563,34.32238617,-118.4601875,8239.112269,34.256727,-118.501532,6719.442243,34.272659,-118.5016054,1890.09363,34.3075438,-118.4502043,2382.75,2537.5,2629.5,454208.3333,489020.8333,509750,0,0,0,0,0,0,4,0,0,0,0,8,0,0,9,0,9,136,76833,60,13,5290,13,4,9.379,28,23,47.557,0.805024834
106407,6429836.904,1935692.18,34.3105742,-118.4365572,8464.461198,34.256727,-118.501532,7321.504477,34.272659,-118.5016054,1299.416113,34.3075438,-118.4502043,2271.416667,2396.888889,2472.407407,406130.5556,435861.1111,463696.2963,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,35365,0,3,3060,49.16666667,52,0,153.1666667,86,127.995,0.089615505
